"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5257","verify valid logo after login","WebKit","Tue Jun 16 18:31:37 IST 2026","passed","Tue Jun 16 18:31:43 IST 2026","","logintest.spec.js","",""
"","6439","verify Laptops categories products","WebKit","Tue Jun 16 18:31:18 IST 2026","passed","Tue Jun 16 18:31:24 IST 2026","","homepagetest.spec.js","",""
"","8133","verify agrigates logo is visible on login page","Firefox","Tue Jun 16 18:30:32 IST 2026","passed","Tue Jun 16 18:30:40 IST 2026","Agrigates Login Page","agrigatest.spec.js","",""
"","8069","verify delete product","Chromium","Tue Jun 16 18:30:42 IST 2026","passed","Tue Jun 16 18:30:50 IST 2026","","logintest.spec.js","",""
"","7401","verify add to cart","Chromium","Tue Jun 16 18:30:34 IST 2026","passed","Tue Jun 16 18:30:42 IST 2026","","logintest.spec.js","",""
"","6383","verify delete product","","Tue Jun 16 15:51:36 IST 2026","passed","Tue Jun 16 15:51:43 IST 2026","","logintest.spec.js","",""
"","40790","Parameterized Test - Sony xperia z5","WebKit","Tue Jun 16 18:31:40 IST 2026","broken","Tue Jun 16 18:32:21 IST 2026","","parametrisetest.spec.js","",""
"","8967","Parameterized Test - Nexus 6","Chromium","Tue Jun 16 18:30:33 IST 2026","passed","Tue Jun 16 18:30:42 IST 2026","","parametrisetest.spec.js","",""
"","38631","verify valid logo after login","Firefox","Tue Jun 16 18:31:38 IST 2026","passed","Tue Jun 16 18:32:16 IST 2026","","logintest.spec.js","",""
"","6257","verify Phones categories products","WebKit","Tue Jun 16 18:31:11 IST 2026","passed","Tue Jun 16 18:31:18 IST 2026","","homepagetest.spec.js","",""
"","2736","verify product is searchable after login","Firefox","Tue Jun 16 18:32:18 IST 2026","passed","Tue Jun 16 18:32:20 IST 2026","","logintest.spec.js","",""
"","15454","verify add to cart","Firefox","Tue Jun 16 18:32:20 IST 2026","failed","Tue Jun 16 18:32:36 IST 2026","","logintest.spec.js","",""
"","4319","verify Laptops categories products","Chromium","Tue Jun 16 18:30:30 IST 2026","passed","Tue Jun 16 18:30:34 IST 2026","","homepagetest.spec.js","",""
"","1939","navigate to google and verify title","WebKit","Tue Jun 16 18:31:06 IST 2026","passed","Tue Jun 16 18:31:07 IST 2026","","google.spec.js","",""
"","6711","verify product is searchable after login","WebKit","Tue Jun 16 18:31:43 IST 2026","passed","Tue Jun 16 18:31:49 IST 2026","","logintest.spec.js","",""
"","2041","has title","Chromium","Tue Jun 16 18:30:20 IST 2026","passed","Tue Jun 16 18:30:22 IST 2026","","example.spec.js","",""
"","12272","Parameterized Test - Nexus 6","WebKit","Tue Jun 16 18:32:23 IST 2026","passed","Tue Jun 16 18:32:35 IST 2026","","parametrisetest.spec.js","",""
"","41221","Parameterized Test - Sony xperia z5","Firefox","Tue Jun 16 18:30:53 IST 2026","broken","Tue Jun 16 18:31:34 IST 2026","","parametrisetest.spec.js","",""
"","5127","@smoke verifylogindemoblaze","Chromium","Tue Jun 16 18:30:23 IST 2026","passed","Tue Jun 16 18:30:28 IST 2026","","logintest.spec.js","",""
"","5350","verify Phones categories products","Firefox","Tue Jun 16 18:30:49 IST 2026","passed","Tue Jun 16 18:30:55 IST 2026","","homepagetest.spec.js","",""
"","6071","@smoke verifylogindemoblaze","WebKit","Tue Jun 16 18:31:31 IST 2026","passed","Tue Jun 16 18:31:37 IST 2026","","logintest.spec.js","",""
"","2633","has title","WebKit","Tue Jun 16 18:31:03 IST 2026","passed","Tue Jun 16 18:31:05 IST 2026","","example.spec.js","",""
"","3112","verify product is searchable after login","Chromium","Tue Jun 16 18:30:31 IST 2026","passed","Tue Jun 16 18:30:34 IST 2026","","logintest.spec.js","",""
"","2055","verify product is searchable after login","","Tue Jun 16 15:51:28 IST 2026","passed","Tue Jun 16 15:51:30 IST 2026","","logintest.spec.js","",""
"","8531","verify add to cart","WebKit","Tue Jun 16 18:31:50 IST 2026","passed","Tue Jun 16 18:31:58 IST 2026","","logintest.spec.js","",""
"","2642","navigate to google and verify title","Firefox","Tue Jun 16 18:30:43 IST 2026","passed","Tue Jun 16 18:30:45 IST 2026","","google.spec.js","",""
"","40857","@smoke verifylogindemoblaze","Firefox","Tue Jun 16 18:30:53 IST 2026","broken","Tue Jun 16 18:31:34 IST 2026","","logintest.spec.js","",""
"","1","verify Monitors categories products","Firefox","Tue Jun 16 18:31:38 IST 2026","skipped","Tue Jun 16 18:31:38 IST 2026","","homepagetest.spec.js","",""
"","7060","verify Monitors categories products","WebKit","Tue Jun 16 18:31:24 IST 2026","passed","Tue Jun 16 18:31:31 IST 2026","","homepagetest.spec.js","",""
"","4070","verify all categories","Chromium","Tue Jun 16 18:30:20 IST 2026","passed","Tue Jun 16 18:30:24 IST 2026","","homepagetest.spec.js","",""
"","9958","Parameterized Test - Sony xperia z5","Chromium","Tue Jun 16 18:30:23 IST 2026","passed","Tue Jun 16 18:30:33 IST 2026","","parametrisetest.spec.js","",""
"","1970","verify valid logo after login","","Tue Jun 16 15:51:26 IST 2026","passed","Tue Jun 16 15:51:28 IST 2026","","logintest.spec.js","",""
"","14647","verify Monitors categories products","Chromium","Tue Jun 16 18:30:34 IST 2026","failed","Tue Jun 16 18:30:49 IST 2026","","homepagetest.spec.js","",""
"","2585","navigate to google and verify title","Chromium","Tue Jun 16 18:30:20 IST 2026","passed","Tue Jun 16 18:30:22 IST 2026","","google.spec.js","",""
"","3984","verify all categories","Firefox","Tue Jun 16 18:30:45 IST 2026","passed","Tue Jun 16 18:30:49 IST 2026","","homepagetest.spec.js","",""
"","6944","verify agrigates logo is visible on login page","Chromium","Tue Jun 16 18:30:21 IST 2026","passed","Tue Jun 16 18:30:28 IST 2026","Agrigates Login Page","agrigatest.spec.js","",""
